Tab.2.1.17;;;;;;;;;;
;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/n nach Staaten und Bildungsbereichen in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;
;;;;;;;;;;
;;ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich zusammen;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5: Kurzes tertiäres Bildungsprogramm;ISCED 6 bis 8: Bachelor, Master, Promotion oder gleichwertiges Bildungsprogramm;ISCED 5 bis 8: Tertiärbereich insgesamt;ISCED 1 bis 8: Primar- bis Tertiärbereich 2)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Ungarn;2015;5089;4711;6966;5870;12301;4102;8952;8761;6346
Ungarn;2016;5454;5788;8508;7174;12605;7206;11470;11288;7639
Ungarn;2017;5491;5259;8465;6867;13642;4675;13256;12878;7797
Vereinigtes Königreich;2012;10017;10271;9963;10085;a;y;y;24338;12084
Vereinigtes Königreich;2013;10669;13092;11627;12200;a;y;y;25744;13613
Vereinigtes Königreich;2014;11367;12478;12435;12452;a;y;y;24542;13906
Vereinigtes Königreich;2015;11630;10249;10798;10569;a;8421;27931;26320;13355
Vereinigtes Königreich;2016;11188;10921;10992;10963;a;23769;23772;23771;13038
Vereinigtes Königreich;2017;11604;11749;11480;11592;a;19093;29131;28144;14209
Vereinigte Staaten;2012;11030;11856;13059;12442;y;y;y;26562;15494
Vereinigte Staaten;2013;10959;11947;13587;12740;y;y;y;27924;15720
Vereinigte Staaten;2014;11319;12261;13776;12995;15086;y;y;29328;16268
Vereinigte Staaten;2015;11727;12693;13474;13084;14294;y;y;30003;16518
Vereinigte Staaten;2016;12184;13153;14566;13845;14496;y;y;30165;16987
Vereinigte Staaten;2017;12592;13654;15202;14411;15908;y;y;33063;17993
OECD-Durchschnitt 8);2012;8247;9627;9876;9518;6734;8968;15111;15028;10220
OECD-Durchschnitt 8);2013;8477;9980;9990;9811;6905;10107;16199;15772;10493
OECD-Durchschnitt 8);2014;8733;10235;10182;10106;8184;10423;16674;16143;10759
OECD-Durchschnitt 8);2015;8631;9941;10196;10010;8927;11022;16518;15656;10520
OECD-Durchschnitt 8);2016;8470;9884;10368;9968;m;11745;16756;15556;10502
OECD-Durchschnitt 8);2017;9090;10527;10888;10547;m;12422;17566;16327;11231
EU23-Durchschnitt 8)9);2012;8372;10040;10011;9931;6461;9097;14807;14955;10361
EU23-Durchschnitt 8)9);2013;8545;10210;10087;10053;6554;10769;15537;15664;10548
EU23-Durchschnitt 8)9);2014;8803;10413;10494;10360;7211;11239;16189;16164;10897
EU23-Durchschnitt 8)9);2015;8656;10175;10230;10105;m;11090;16835;15998;10555
EU23-Durchschnitt 8)9);2016;8548;10302;10308;10205;m;12468;16388;15863;10688
EU23-Durchschnitt 8)9);2017;9269;10963;10836;10786;m;13014;17126;16688;11515
Argentinien;2012;m;m;m;m;a;m;m;m;m
Argentinien;2013;3729;5266;5608;5399;a;m;m;m;m
Argentinien;2014;3356;4663;4985;4790;a;y;y;5085;4240
Argentinien;2015;m;m;m;m;m;m;m;m;m
Argentinien;2016;m;m;m;m;a;m;m;m;m
Argentinien;2017;m;m;m;m;a;m;m;m;m
Brasilien 4);2012;3095;2981;3078;3020;a;y;y;10455;3441
Brasilien 4);2013;3826;3802;3852;3822;a;y;y;13540;4318
Brasilien 4);2014;3799;3814;3870;3837;a;y;y;11666;5610
Brasilien 4);2015;3762;3789;3986;3872;y;y;y;14261;4451
Brasilien 4);2016;m;m;m;m;m;m;m;m;m
Brasilien 4);2017;m;m;m;m;m;m;m;m;m
China;2012;m;m;m;m;m;m;m;m;m
China;2013;m;m;m;m;m;m;m;m;m
China;2014;m;m;m;m;m;m;m;m;m
China;2015;m;m;m;m;m;m;m;m;m
China;2016;m;m;m;m;m;m;m;m;m
China;2017;m;m;m;m;m;m;m;m;m
Indien;2012;m;m;m;m;m;m;m;m;m
Indien;2013;m;m;m;m;m;m;m;m;m
Indien;2014;m;m;m;m;m;a;m;m;m
Indien;2015;m;m;m;m;m;m;m;m;m
Indien;2016;m;m;m;m;m;m;m;m;m
Indien;2017;m;m;m;m;m;m;m;m;m
Indonesien 3);2012;1180;915;1067;981;a;y;y;2089;1397
Indonesien 3);2013;1184;918;1070;984;a;y;y;2094;1209
Indonesien 3);2014;1476;1200;1143;1175;a;y;y;2962;1486
Indonesien 3);2015;m;m;m;m;m;m;m;m;m
Indonesien 3);2016;m;m;m;m;a;m;m;m;m
Indonesien 3);2017;m;m;m;m;a;m;m;m;m
Russische Föderation;2012;y;y;y;5345;y;5183;9115;8363;6190
Russische Föderation;2013;y;y;5100;5100;y;5083;9291;8483;5999
Russische Föderation;2014;y;y;4939;4939;y;6117;9496;8808;5928
Russische Föderation;2015;y;y;y;y;y;4249;9554;8369;5409
Russische Föderation;2016;y;y;y;y;y;5289;9516;8479;5210
Russische Föderation;2017;y;y;5382;5382;y;5379;9776;8629;6090
Saudi-Arabien;2012;m;m;m;m;m;m;m;m;m
Saudi-Arabien;2013;m;m;m;m;m;m;m;m;m
Saudi-Arabien;2014;m;m;m;m;m;m;m;m;m
Saudi-Arabien;2015;m;m;m;m;m;m;m;m;m
Saudi-Arabien;2016;m;m;m;m;m;m;m;m;m
Saudi-Arabien;2017;m;m;m;m;m;m;m;m;m
Südafrika 4);2012;2431;y;y;2440;5188;y;y;10885;3633
Südafrika 4);2013;2366;y;y;2513;5607;m;m;m;m
Südafrika 4);2014;m;m;m;m;m;m;m;m;m
Südafrika 4);2015;m;m;m;m;m;m;m;m;m
Südafrika 4);2016;m;m;m;m;m;m;m;m;m
Südafrika 4);2017;m;m;m;m;m;m;m;m;m
;;;;;;;;;;
Quelle: OECD, Bildung auf einen Blick;;;;;;;;;;
;;;;;;;;;;
Anmerkungen:;;;;;;;;;;
1) Abgegrenzt nach der ISCED-Gliederung: International Standard Classification for Education 2011. Frühere Jahre mit Gliederung gemäß ISCED 1997 siehe Archivtabelle 2.1.7. Angaben zum Elementarbereich (ISCED 2011) siehe Tabelle 2.1.23.;;;;;;;;;;
2) Referenzjahre 2012 und 2013: Einschließlich nicht zugeordneter Bildungs-/Studiengänge.;;;;;;;;;;
3) Die Jahresangaben können von den tatsächlichen Referenzjahren abweichen. Für eine genaue Jahreszuordnung siehe Quelle.;;;;;;;;;;
4) Teilweise nur öffentliche Bildungseinrichtungen.;;;;;;;;;;
5) Ab Referenzjahr 2014: Primarbereich enthält Daten zum Elementarbereich (ISCED 02) und Sekundarbereich I.;;;;;;;;;;
6) Referenzjahr 2012: Elementar- und Primarbereich einschließlich Rückerstattungen von Gebietskörperschaften für zurückliegende Jahre.;;;;;;;;;;
7) Referenzjahr 2014: Sekundarbereich II enthält Informationen zu beruflichen Bildungsgängen des Sekundarbereichs I.;;;;;;;;;;
8) Die Kategorien OECD-Durchschnitt und EU23-Durchschnitt geben den im jeweiligen Referenzjahr gültigen Stand der OECD- bzw. EU-Mitgliedschaft der Staaten wieder.;;;;;;;;;;
"9) Referenzjahr 2012: EU21-Durchschnitt; Referenzjahre 2013 bis 2015: EU22-Durchschnitt.";;;;;;;;;;
;;;;;;;;;;
a = Daten nicht verfügbar, weil Frage nicht zutrifft.;;;;;;;;;;
m = Daten nicht verfügbar.;;;;;;;;;;
y = Daten an anderer Stelle enthalten.;;;;;;;;;;
;;;;;;;;;;
Auswertung aus der ICE-Datenbank des BMBF (ICE = Information, Controlling, Entscheidung);;;;;;;;;;
Ein System des Deutschen Zentrums für Hochschul- und Wissenschaftsforschung (DZHW), http://www.dzhw.eu;;;;;;;;;;
;;;;;;;;;;
Letzte Aktualisierung: 29. September 2020;;;;;;;;;;
;;;;;;;;;;
Dieses Werk ist lizenziert unter einer Datenlizenz Deutschland Namensnennung nicht kommerziell 1.0.;;;;;;;;;;
(https://www.govdata.de/dl-de/by-nc-1-0);;;;;;;;;;
