Tab.2.1.7;;;;;;;;;;;;
;;;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/-n nach Staaten und Bildungsbereichen (ISCED 1997) in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;;;
;;;;;;;;;;;;
;;ISCED 0: Elementarbereich (für 3-Jährige und Ältere);ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich insgesamt;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5B: Tertiärbereich B;ISCED 5A/6: Tertiärbereich A und weiterführende Forschungsprogramme;ISCED 5/6: Tertiärbereich insgesamt;ISCED 5: Tertiärbereich ohne Forschungs- und Entwicklungsaktivitäten;Alle Bildungsbereiche (ohne Elementarbereich)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Italien 2)6);1999;5133;5354;6206;6741;6518;m;7147;7557;7552;m;m
Italien 2)6);2000;5771;5973;7089;7308;7218;m;4114;8136;8065;m;6928
Italien 2)6);2001;5972;6783;8558;8051;8258;m;13456;8270;8347;5064;7839
Italien 2)6);2002;5445;7231;8073;7221;7568;m;7429;8649;8636;m;7708
Italien 2)6);2003;6116;7366;7688;8108;7938;m;7443;8777;8764;5658;7963
Italien 2)6);2004;5971;7390;7657;7971;7843;m;8378;7716;7723;4812;7723
Italien 2)6);2005;6139;6835;7599;7682;7648;m;7420;8032;8026;5314;7540
Italien 2)6);2006;7083;7716;8527;8474;8495;m;6920;8738;8725;5628;8263
Italien 2)6);2007;7191;7383;8222;7864;8004;m;7772;8678;8673;5447;7948
Italien 2)6);2008;8187;8671;9616;9121;9315;m;8944;9556;9553;5959;9149
Italien 2)6);2009;7948;8669;9165;9076;9112;m;9565;9562;9562;5980;9055
Italien 2)6);2010;7177;8296;8548;8646;8607;m;10674;9576;9580;6266;8690
Italien 2)6);2011;7868;8448;8686;8519;8585;m;9134;9993;9990;6482;8790
Japan 2);1997;3096;5202;5512;6314;5917;y;7750;10623;10157;m;m
Japan 2);1998;3123;5075;5515;6257;5890;y;7270;10374;9871;m;m
Japan 2);1999;3154;5240;5612;6460;6039;y;7649;10749;10278;m;m
Japan 2);2000;3376;5507;5904;6615;6266;y;8507;11302;10914;m;6744
Japan 2);2001;3478;5771;6166;6880;6534;y;8823;11493;11164;m;7018
Japan 2);2002;3691;6117;6607;7274;6952;y;9580;11984;11716;m;7438
Japan 2);2003;3766;6350;6991;7552;7283;y;7638;12913;11556;m;7789
Japan 2);2004;3945;6551;7325;7883;7615;y;7619;13777;12193;m;8148
Japan 2);2005;4174;6744;7630;8164;7908;y;7969;13827;12326;m;8378
Japan 2);2006;4389;6989;8004;8589;8305;y;8634;15022;13418;m;8872
Japan 2);2007;4518;7247;8346;9159;8760;y;9139;15822;14201;m;9312
Japan 2);2008;4711;7491;8621;9559;9092;y;9451;16533;14890;m;9673
Japan 2);2009;5103;7729;8985;9527;9256;y;10125;17511;15957;m;10035
Japan 2);2010;5550;8353;9847;10064;9957;y;10239;17544;16015;m;10596
Japan 2);2011;5591;8280;9677;10093;9886;y;10181;18110;16446;m;10646
Kanada 2)4)6);1997;3942;m;m;m;m;4862;14872;14783;14809;m;m
Kanada 2)4)6);1998;4535;m;m;m;m;5735;13795;14899;14579;m;m
Kanada 2)4)6);1999;4466;y;y;y;5981;y;y;15470;15211;m;m
Kanada 2)4)6);2000;6120;y;y;y;5947;y;12801;16690;14983;m;7764
